1,20160607,20
2,20160608,6
2,20160611,3
2,20160615,3
2,20160617,3
2,20160620,20
3,20160609,3
3,20160611,4
3,20160614,6
3,20160615,6
3,20160617,21
4,20160610,3
4,20160614,20
5,20160607,2
5,20160611,2
5,20160615,2
5,20160618,2
5,20160621,20
6,20160610,6
6,20160612,6
6,20160616,21
7,20160609,6
7,20160612,21
8,20160607,4
8,20160609,21
9,20160609,3
9,20160612,3
9,20160613,21
10,20160607,7
10,20160610,21
11,20160610,1
11,20160612,1
11,20160615,1
11,20160617,1
11,20160620,20
12,20160610,2
12,20160612,2
12,20160616,2
12,20160620,2
12,20160624,20
13,20160610,3
13,20160614,6
13,20160618,1
13,20160621,1
13,20160622,21
14,20160610,3
14,20160614,3
14,20160615,3
14,20160616,21
15,20160607,5
15,20160610,5
15,20160612,2
15,20160613,2
15,20160615,20
16,20160607,6
16,20160610,6
16,20160613,6
16,20160614,6
16,20160615,21
17,20160610,2
17,20160613,5
17,20160616,5
17,20160618,2
17,20160622,21
18,20160609,1
18,20160613,6
18,20160617,6
18,20160619,5
18,20160622,20
19,20160609,7
19,20160611,7
19,20160615,1
19,20160617,1
19,20160619,21
20,20160607,3
20,20160608,7
20,20160609,3
20,20160612,3
20,20160615,21
21,20160607,1
21,20160610,1
21,20160612,1
21,20160616,1
21,20160618,20
22,20160607,7
22,20160610,7
22,20160613,21
23,20160607,1
23,20160610,1
23,20160614,1
23,20160618,1
23,20160620,20
24,20160609,2
24,20160610,20
25,20160610,6
25,20160614,21
26,20160608,2
26,20160611,2
26,20160615,2
26,20160617,2
26,20160618,21
27,20160609,1
27,20160611,1
27,20160613,1
27,20160615,1
27,20160616,20
28,20160608,1
28,20160611,1
28,20160612,5
28,20160613,5
28,20160615,21
29,20160609,1
29,20160610,1
29,20160614,1
29,20160618,1
29,20160622,20
30,20160607,3
30,20160611,20
31,20160608,3
31,20160611,1
31,20160613,2
31,20160617,3
31,20160619,20
32,20160610,4
32,20160612,4
32,20160615,4
32,20160616,4
32,20160619,21
33,20160608,4
33,20160610,4
33,20160614,4
33,20160615,21
34,20160609,3
34,20160612,3
34,20160613,3
34,20160616,3
34,20160620,21
35,20160609,6
35,20160610,4
35,20160613,21
36,20160607,6
36,20160611,21
37,20160609,6
37,20160611,4
37,20160615,21
38,20160608,1
38,20160612,20
39,20160609,1
39,20160611,20
40,20160609,2
40,20160611,20
41,20160608,3
41,20160611,21
42,20160608,3
42,20160611,20
43,20160608,1
43,20160610,1
43,20160613,21
44,20160608,1
44,20160609,20
45,20160609,6
45,20160612,21
46,20160610,6
46,20160614,6
46,20160617,3
46,20160620,6
46,20160621,21
47,20160608,1
47,20160611,20
48,20160608,2
48,20160611,2
48,20160614,20
49,20160607,1
49,20160610,2
49,20160613,3
49,20160617,6
49,20160620,20
50,20160607,4
50,20160610,4
50,20160612,4
50,20160614,4
50,20160618,21
51,20160610,6
51,20160611,6
51,20160613,21
52,20160607,4
52,20160610,6
52,20160614,21
53,20160608,2
53,20160610,20
54,20160610,6
54,20160611,21
55,20160609,6
55,20160612,1
55,20160616,21
56,20160610,6
56,20160614,21
57,20160608,6
57,20160612,21
58,20160607,1
58,20160611,4
58,20160615,4
58,20160616,4
58,20160619,21
59,20160610,3
59,20160612,21
60,20160607,6
60,20160608,6
60,20160611,6
60,20160615,21
61,20160608,1
61,20160610,6
61,20160611,2
61,20160612,21
62,20160609,1
62,20160610,2
62,20160614,3
62,20160618,3
62,20160620,20
63,20160610,6
63,20160612,21
64,20160609,1
64,20160613,1
64,20160615,1
64,20160616,1
64,20160618,20
65,20160609,1
65,20160611,1
65,20160612,1
65,20160615,1
65,20160617,20
66,20160608,6
66,20160612,21
67,20160610,6
67,20160611,21
68,20160607,6
68,20160611,21
69,20160610,3
69,20160612,3
69,20160613,6
69,20160615,7
69,20160616,21
70,20160608,1
70,20160612,20
71,20160610,3
71,20160612,21
72,20160608,3
72,20160612,21
73,20160609,7
73,20160611,7
73,20160615,1
73,20160616,1
73,20160620,21
74,20160607,2
74,20160608,2
74,20160609,2
74,20160610,2
74,20160614,20
75,20160610,1
75,20160614,1
75,20160618,1
75,20160621,1
75,20160622,20
76,20160609,1
76,20160612,1
76,20160616,1
76,20160617,20
77,20160610,3
77,20160611,20
78,20160610,6
78,20160614,21
79,20160609,2
79,20160611,20
80,20160610,6
80,20160614,1
80,20160618,6
80,20160620,1
80,20160624,20
81,20160609,7
81,20160613,7
81,20160615,7
81,20160616,2
81,20160620,21
82,20160610,1
82,20160611,3
82,20160613,3
